First name Second name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Andrew Triggs Hodge,192,100,Team GB,GBR,M,Rowing,Men's Four
Tom James,193,93,Team GB,GBR,M,Rowing,Men's Four
Bill Lucas,199,100,Team GB,GBR,M,Rowing,Men's Double Sculls
Heather Stanning,181,74,Team GB,GBR,W,Rowing,Women's Pair
Constantine Louloudis,190,94,Team GB,GBR,M,Rowing,Men's Eight
Tom Solesbury,199,97,Team GB,GBR,M,Rowing,Men's Quadruple Sculls
Helen Glover,178,70,Team GB,GBR,W,Rowing,Women's Pair
Will Satch,194,94,Team GB,GBR,M,Rowing,Men's Pair
James Foad,185,90,Team GB,GBR,M,Rowing,Men's Eight
Annie Vernon,178,75,Team GB,GBR,W,Rowing,Women's Eight
Rob Williams,185,75,Team GB,GBR,M,Rowing,Men's Lightweight Four
Richard Chambers,183,74,Team GB,GBR,M,Rowing,Men's Lightweight Four
